"check_date","time_of_check","currency_name","coin_gecko_url","currency_website","currency_categories","currency_price","market_cap","trading_volume","market_cap_rank","all_time_high","all_time_low","one_day_low","one_day_high","seven_day_low","seven_day_high"
"2022-02-21","18:49:05","Uniswap","https://www.coingecko.com/en/coins/uniswap","https://uniswap.org/","['Arbitrum Ecosystem', 'Gnosis Chain Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'BNB Chain Ecosystem', 'Automated Market Maker (AMM)', 'Yield Farming', 'Governance', 'Decentralized Finance (DeFi)', 'Exchange-based Tokens', 'Decentralized Exchange Token (DEX)']","$9.07","$4,142,781,167","$199,425,992","#33","$44.92","$1.03","$9.03","$9.76","$9.04","$11.46"
"2022-02-21","18:49:05","Hedera","https://www.coingecko.com/en/coins/hedera","https://www.hedera.com/","['Protocol']","$0.210955","$4,093,129,439","$61,699,838","#34","$0.569229","$0.009861110424","$0.209507","$0.225275","$0.210577","$0.262817"
"2022-02-21","18:49:40","Decentraland","https://www.coingecko.com/en/coins/decentraland","https://decentraland.org/","['Play To Earn', 'Polygon Ecosystem', 'Metaverse', 'Non-Fungible Tokens (NFT)', 'Entertainment']","$2.66","$3,996,126,806","$929,645,709","#35","$5.85","$0.009236807947","$2.66","$2.96","$2.66","$3.37"
"2022-02-21","18:49:05","Internet Computer","https://www.coingecko.com/en/coins/internet-computer","https://dfinity.org/","['Smart Contract Platform']","$18.38","$3,799,547,789","$183,915,433","#36","$700.65","$18.21","$18.28","$19.42","$18.33","$22.26"
"2022-02-21","18:49:05","Axie Infinity","https://www.coingecko.com/en/coins/axie-infinity","https://axieinfinity.com/","['Play To Earn', 'Metaverse', 'Axie Infinity', 'Non-Fungible Tokens (NFT)', 'GameFi']","$51.18","$3,648,682,648","$361,574,480","#37","$164.90","$0.123718","$51.23","$56.14","$50.36","$65.50"
"2022-02-21","18:49:05","Ethereum Classic","https://www.coingecko.com/en/coins/ethereum-classic","http://ethereumclassic.org","['Smart Contract Platform']","$26.18","$3,491,031,614","$318,487,732","#38","$167.09","$0.615038","$26.20","$28.44","$26.31","$33.53"
"2022-02-21","18:49:05","The Sandbox","https://www.coingecko.com/en/coins/the-sandbox","https://www.sandbox.game/en/","['Play To Earn', 'Near Protocol Ecosystem', 'Polygon Ecosystem', 'Metaverse', 'Non-Fungible Tokens (NFT)', 'GameFi']","$3.11","$3,388,458,501","$821,636,815","#39","$8.40","$0.028977638794","$3.11","$3.43","$3.13","$4.41"
"2022-02-21","18:49:05","Elrond","https://www.coingecko.com/en/coins/elrond","https://elrond.com","['Smart Contract Platform', 'Protocol']","$154.46","$3,374,373,714","$157,638,133","#40","$545.64","$6.51","$151.75","$168.25","$152.59","$199.31"
"2022-02-21","18:49:05","Klaytn","https://www.coingecko.com/en/coins/klaytn","https://www.klaytn.foundation","[]","$1.25","$3,320,070,990","$43,050,117","#41","$4.34","$0.060439541714","$1.25","$1.30","$1.22","$1.36"
"2022-02-21","18:49:05","Filecoin","https://www.coingecko.com/en/coins/filecoin","https://filecoin.io/","['Storage', 'Infrastructure']","$19.50","$3,251,729,905","$285,954,257","#42","$236.84","$16.76","$19.13","$20.48","$19.19","$23.37"
"2022-02-21","18:49:05","VeChain","https://www.coingecko.com/en/coins/vechain","https://www.vechain.org","['Smart Contract Platform', 'Business Platform', 'Internet of Things (IOT)', 'Artificial Intelligence']","$0.047444810877","$3,166,970,529","$301,406,822","#43","$0.280991","$0.001917133347","$0.047409494356","$0.051675999609","$0.047602663285","$0.061512049830"
"2022-02-21","18:49:05","cDAI","https://www.coingecko.com/en/coins/compound-dai","https://compound.finance/","['Compound Tokens', 'Decentralized Finance (DeFi)', 'Asset-backed Tokens']","$0.021952899345","$2,932,394,150","$12,366,234","#44","$0.031590866707","$0.007288543746","$0.018506695591","$0.022173383424","$0.021775345525","$0.022004312429"
"2022-02-21","18:49:05","Theta Network","https://www.coingecko.com/en/coins/theta-network","https://www.thetatoken.org/","['Non-Fungible Tokens (NFT)', 'Entertainment']","$2.85","$2,843,852,004","$188,279,555","#45","$15.72","$0.040399794597","$2.84","$3.14","$2.85","$4.02"
"2022-02-21","18:49:05","Monero","https://www.coingecko.com/en/coins/monero","https://getmonero.org","['Privacy Coins']","$155.00","$2,800,769,715","$114,321,160","#46","$542.33","$0.216177","$151.61","$161.65","$152.12","$182.89"
"2022-02-21","18:49:05","ECOMI","https://www.coingecko.com/en/coins/ecomi","https://www.ecomi.com/","['Collectibles', 'Non-Fungible Tokens (NFT)']","$0.004784644121","$2,797,665,431","$5,475,068","#47","$0.013435720393","$0.000003370953","$0.004767802736","$0.005341020642","$0.004836339909","$0.006584954410"
"2022-02-21","18:49:05","Tezos","https://www.coingecko.com/en/coins/tezos","https://www.tezos.com/","['Smart Contract Platform']","$3.16","$2,782,983,289","$146,742,570","#48","$9.12","$0.350476","$3.15","$3.48","$3.16","$4.17"
"2022-02-21","18:49:05","Magic Internet Money","https://www.coingecko.com/en/coins/magic-internet-money","https://abracadabra.money/ ","['Moonriver Ecosystem', 'Arbitrum Ecosystem', 'Fantom Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Decentralized Finance (DeFi)', 'Stablecoins']","$0.993641","$2,768,188,977","$69,629,736","#49","$1.04","$0.919196","$0.984478","$1.00","$0.984478","$1.00"
"2022-02-21","18:50:06","cETH","https://www.coingecko.com/en/coins/compound-ether","https://compound.finance/","['Compound Tokens', 'Decentralized Finance (DeFi)', 'Asset-backed Tokens', 'Finance / Banking']","$52.61","$2,709,336,513","$14,981,766","#50","$97.75","$1.89","$51.88","$55.23","$52.19","$63.87"
"2022-02-21","18:49:05","Frax","https://www.coingecko.com/en/coins/frax","https://frax.finance","['Moonriver Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Seigniorage', 'BNB Chain Ecosystem', 'USD Stablecoin', 'Decentralized Finance (DeFi)', 'Stablecoins']","$0.999276","$2,650,654,065","$20,843,020","#51","$1.14","$0.891635","$0.994976","$1.01","$0.996111","$1.01"
"2022-02-21","18:49:05","cUSDC","https://www.coingecko.com/en/coins/compound-usd-coin","https://compound.finance/","['Compound Tokens', 'Decentralized Finance (DeFi)', 'Asset-backed Tokens', 'Finance / Banking']","$0.022555115266","$2,572,465,209","$13,652,011","#52","$0.058843413525","$0.006207054344","$0.022336985948","$0.022705778294","$0.022419694802","$0.022640529618"
"2022-02-21","18:49:05","Osmosis","https://www.coingecko.com/en/coins/osmosis","https://osmosis.zone/","['Cosmos Ecosystem', 'Automated Market Maker (AMM)', 'Decentralized Finance (DeFi)', 'Decentralized Exchange Token (DEX)']","$8.46","$2,562,279,991","$72,388,632","#53","$10.96","$1.24","$8.29","$8.86","$8.10","$9.31"
"2022-02-21","18:49:05","The Graph","https://www.coingecko.com/en/coins/the-graph","https://thegraph.com/","['Arbitrum Ecosystem', 'Gnosis Chain Ecosystem', 'Near Protocol Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Solana Ecosystem', 'BNB Chain Ecosystem', 'Analytics', 'Decentralized Finance (DeFi)', 'Infrastructure', 'Business Services']","$0.377614","$2,328,146,922","$114,454,963","#54","$2.84","$0.103254","$0.378116","$0.422860","$0.382954","$0.507922"
"2022-02-21","18:49:05","Helium","https://www.coingecko.com/en/coins/helium","https://www.helium.com/","['Internet of Things (IOT)', 'Communication']","$22.40","$2,254,877,081","$16,819,288","#55","$54.88","$0.113248","$22.17","$24.20","$22.26","$28.13"
"2022-02-21","18:49:43","EOS","https://www.coingecko.com/en/coins/eos","https://eos.io/","['Smart Contract Platform']","$2.18","$2,152,692,188","$311,373,834","#56","$22.71","$0.502400","$2.17","$2.28","$2.17","$2.58"
"2022-02-21","18:49:05","BitTorrent [OLD]","https://www.coingecko.com/en/coins/bittorrent-old","https://www.bittorrent.com/btt/","['BNB Chain Ecosystem', 'Storage', 'Protocol']","$0.001700697001","$2,106,847,046","$351,575","#57","$0.013566264635","$0.000138142882","$0.001510041968","$0.002009037045","$0.001312310799","$0.002238828492"
"2022-02-21","18:49:05","IOTA","https://www.coingecko.com/en/coins/iota","http://iota.org/","['Smart Contract Platform', 'Internet of Things (IOT)']","$0.747052","$2,081,335,883","$48,221,071","#58","$5.25","$0.081637373017","$0.745592","$0.825711","$0.747710","$0.914022"
"2022-02-21","18:49:05","PancakeSwap","https://www.coingecko.com/en/coins/pancakeswap","https://pancakeswap.finance/","['BNB Chain Ecosystem', 'Automated Market Maker (AMM)', 'Yield Farming', 'Governance', 'Decentralized Finance (DeFi)', 'Exchange-based Tokens', 'Decentralized Exchange Token (DEX)']","$7.13","$1,922,192,234","$114,549,590","#59","$43.96","$0.194441","$7.08","$7.77","$7.10","$8.40"
